t x0 y0 x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7
0.0000 10.0000 0.0000 7.0711 7.0711 0.0000 10.0000 -7.0711 7.0711 -10.0000 0.0000 -7.0711 -7.0711 -0.0000 -10.0000 7.0711 -7.0711
0.2000 9.8026 -0.0030 6.9321 6.9265 0.0015 9.7963 -6.9299 6.9336 -9.7965 0.0019 -6.9259 -6.9310 -0.0030 -9.8026 6.9336 -6.9296
0.4000 9.6053 -0.0060 6.7931 6.7820 0.0030 9.5926 -6.7888 6.7962 -9.5929 0.0037 -6.7807 -6.7908 -0.0060 -9.6052 6.7962 -6.7881
0.6000 9.4079 -0.0089 6.6541 6.6374 0.0044 9.3889 -6.6477 6.6587 -9.3894 0.0055 -6.6356 -6.6507 -0.0089 -9.4079 6.6587 -6.6467
0.8000 9.2106 -0.0118 6.5150 6.4930 0.0059 9.1852 -6.5067 6.5212 -9.1858 0.0073 -6.4905 -6.5105 -0.0119 -9.2105 6.5212 -6.5053
1.0000 9.0132 -0.0147 6.3759 6.3485 0.0073 8.9815 -6.3656 6.3837 -8.9823 0.0091 -6.3454 -6.3703 -0.0148 -9.0131 6.3837 -6.3639
1.2000 8.8158 -0.0175 6.2368 6.2041 0.0087 8.7777 -6.2246 6.2462 -8.7788 0.0109 -6.2003 -6.2300 -0.0176 -8.8157 6.2462 -6.2225
1.4000 8.6185 -0.0203 6.0977 6.0597 0.0101 8.5740 -6.0836 6.1086 -8.5752 0.0126 -6.0553 -6.0898 -0.0204 -8.6184 6.1086 -6.0811
1.6000 8.4211 -0.0231 5.9585 5.9153 0.0115 8.3703 -5.9426 5.9710 -8.3717 0.0143 -5.9103 -5.9495 -0.0232 -8.4210 5.9711 -5.9398
1.8000 8.2238 -0.0258 5.8193 5.7710 0.0129 8.1666 -5.8016 5.8335 -8.1682 0.0160 -5.7653 -5.8092 -0.0260 -8.2236 5.8335 -5.7985
2.0000 8.0264 -0.0286 5.6800 5.6267 0.0142 7.9629 -5.6606 5.6958 -7.9646 0.0177 -5.6204 -5.6688 -0.0287 -8.0262 5.6958 -5.6572
2.2000 7.8291 -0.0312 5.5408 5.4824 0.0156 7.7592 -5.5197 5.5582 -7.7611 0.0194 -5.4754 -5.5284 -0.0314 -7.8288 5.5582 -5.5159
2.4000 7.6317 -0.0339 5.4015 5.3382 0.0169 7.5555 -5.3788 5.4206 -7.5575 0.0210 -5.3305 -5.3880 -0.0341 -7.6315 5.4205 -5.3747
2.6000 7.4343 -0.0365 5.2622 5.1940 0.0182 7.3518 -5.2379 5.2829 -7.3540 0.0227 -5.1857 -5.2476 -0.0367 -7.4341 5.2829 -5.2335
2.8000 7.2370 -0.0391 5.1228 5.0498 0.0195 7.1481 -5.0970 5.1452 -7.1505 0.0243 -5.0408 -5.1071 -0.0393 -7.2367 5.1451 -5.0923
3.0000 7.0396 -0.0416 4.9834 4.9056 0.0207 6.9444 -4.9562 5.0075 -6.9469 0.0258 -4.8960 -4.9666 -0.0418 -7.0393 5.0074 -4.9511
3.2000 6.8423 -0.0441 4.8440 4.7615 0.0220 6.7406 -4.8154 4.8697 -6.7434 0.0274 -4.7513 -4.8261 -0.0444 -6.8420 4.8697 -4.8099
3.4000 6.6449 -0.0466 4.7045 4.6174 0.0232 6.5369 -4.6746 4.7320 -6.5398 0.0289 -4.6065 -4.6855 -0.0468 -6.6446 4.7319 -4.6688
3.6000 6.4476 -0.0490 4.5650 4.4734 0.0244 6.3332 -4.5338 4.5942 -6.3363 0.0304 -4.4618 -4.5450 -0.0493 -6.4472 4.5941 -4.5277
3.8000 6.2502 -0.0514 4.4255 4.3294 0.0256 6.1295 -4.3930 4.4564 -6.1328 0.0319 -4.3171 -4.4043 -0.0517 -6.2498 4.4562 -4.3866
